//******************************
// Texts for Big Map Campaigns
//******************************

// Resource Names

StratRes0	Нет ресурсов
#CHINT_Diversion Попытаться совершить диверсию в секторе для подрыва его экономики

#CWM_Diversion0	Отравить колодцы поселений (%s золота; %d%%)
#CWM_Diversion1	Уничтожить стратегические склады (%s золота; %d%%)
#CWM_Diversion2	Взорвать казармы гарнизона (%s золота; %d%%)
#CWM_Diversion3	Поднять восстание (%s золота; %d%%)

#CWM_DiversionDone0	Колодцы в большинстве поселков были отравлены. На следующий ход сектор не сможет предоставить рекрутов. Диверсия прошла успешно!
#CWM_DiversionDone1	Наемники успешно уничтожили стратегические склады. Нация не получит ресурсов с этого сектора на следующем ходе. Диверсия прошла успешно!
#CWM_DiversionDone2	Наемники успешно подорвали часть казарм гарнизона. Количество защитных гарнизонов в секторе уменьшилось. Диверсия прошла успешно!
#CWM_DiversionDone3	В секторе вспыхнуло восстание. Диверсия прошла успешно!

#CWM_DiversionFail0	Вражеские патруль вынудил наемников покинуть страну. Задание провалено!
#CWM_DiversionFail1	При попытке проведения диверсии, наемники оказались вовлечены в схватку с солдатами защитного гарнизона. Все наемники погибли. Задание провалено!
#CWM_DiversionFail2	Диверсионный отряд был схвачен войсками защитного гарнизона и расстрелян. Задание провалено!
#CWM_DiversionFail3	Нанятые люди оказались неспособны выполнить задание. Задание провалено!
#CWM_DiversionFail4	Командир группы наемников погиб в случайном бою. Наемники не смогли выполнить задание без него. Задание провалено!

#CHINT_Diversion0	Нанять группу наемников, которые отравят колодцы в селениях сектора, что вызовет отсутствие рекрутов в секторе на следующем ходе
#CHINT_Diversion1	Нанять группу наемников, чтобы уничтожить стратегические склады. Нация не получит ресурсов с данного сектора на следующем ходе
#CHINT_Diversion2	Нанять группу наемников, чтобы  взорвать бараки гарнизона, что уменьшит количество гарнизонов в секторе
#CHINT_Diversion3	Нанять группу наемников, чтобы они подстрекали население к восстанию. Сектор перестанет подчиняться стране из-за вспыхнувшего восстания



// for Commanders

#AwardsNum	Награды:
#Battles	Битвы:
#Victories	Победы:
#SquadsNum	Отряды
#MaxSquadsNum	Максимальное количество отрядов
#CPT_Kills	Убито:
#CHINT_Victories Победы / Битвы


#CPT_MeleeDMG	{C FF502515}\Рукопашный:{C FF640100}
#CPT_RifleDMG	{C FF502515}   Выстрел:{CG}
#CPT_GrenadDMG	{C FF502515}   Гранаты:{CR}



#CPT_Infantry	Пехота
#CPT_Cavalry	Кавалерия
#CPT_Artillery	Артиллерия

#CHINT_AddSquad	Добавить отряд
#CHINT_DelSquad	Распустить отряд


#CHINT_HeroMove0	{CR}Военачальник отдыхает{C}
#CHINT_HeroMove1	{CG}Военачальник готов к отправлению{C}


//#CHINT_HeroMove0	{CR}Военачальник не готов к ходу{C}
//#CHINT_HeroMove1	{CG}Ход военачальника{C}


// for Statistics

#CDT_StatScore	Очки
#CDT_StatSecNum	Сектора

#CDB_Statistics	Статистика
#CHINT_Statistics Статистика по Завоеванию Европы
 

// for Market

#CWT_MarketTitle	Международный рынок


// Информация полученная от торговцев: У Британии проблемы с ресурсами:  дерево, золото. (пример)
      
#CWM_MarketInfo0	{FC12}{C FF6D6862}Информация полученная от торговцев:{F}
#CWM_MarketInfo1	{C FF640100}%s{C}: проблемы с ресурсами: -{C FF8F0909}%s{C}

#CWM_MarketNoEnoughRes	{FS}{C FF640100}У Вас недостаточно ресурсов!
#CWM_MarketResTurnInto	{FS}%d (%s) обменять на %d (%s)



// for Briefing

#BriefingHead	ОПИСАНИЕ МИССИИ
#AttackForce	Атакующие
#DefendForce	Защитники
#QuestsNum	Задачи боевых действий:

#Garrison	Гарнизонные отряды:
#RebelGarrison	Мятежные отряды:

#CBT_SectorName	{AC}{FG18}{C FF640100}%s{F} \ {A} \ 

#CBB_StartMiss	Начать операцию
#CBB_StepBack	Отозвать войска

#CHINT_StartMis	Начать военную операцию
#CHINT_StepBack	Отозвать войска из сектора


// for Mission Statistics

#CWT_StatsHead	СТАТИСТИКА МИССИИ

#CWT_StatsAttackPage	Атакующие 
#CWT_StatsDefendPage	Защитники 
#CWT_Stats_Winner	{CG}Победитель: {C}
#CWT_Stats_Loser	{C FF000000}Проигравший: {C}


#CWT_StatsExps	Опыт:
#CWT_StatsForm	Ретировавшиеся войска:
#CWT_StatsSect	Сектор захвачен:
#CWT_StatsSect2	Сектор защищен:
#CWT_StatsHero	Командир побежден:
#CWT_StatsQExp	Задание выполнено:
#CWT_StatsTotalExp Получено опыта: 

#CWT_StatsResHead	Ресурсы
#CWT_StatsLostHead	Потери
#CWT_StatsLostTotal	Всего:


// end stats



// for Weather

#CWM_Bad_Weather	Из-за сильного дождя дороги стали непроходимыми\ (%s пропускает следующий ход).
#CWM_Bad_Weather2	Дождь размыл дороги! Пройти невозможно!\ (%s пропускает ход).

#CWM_Good_Weather	Отличная погода в этом секторе способствует ускоренному передвижению войск\ (%s возможность сделать дополнительный ход ).



///////////////////////////////////////
// DIPLOMACY


#CDT_MessHead0	ОБЪЯВИТЬ ВОЙНУ
#CDT_MessHead1	СОГЛАШЕНИЕ О МИРЕ
#CDT_MessHead2	ПАКТ О НЕНАПАДЕНИИ
#CDT_MessHead3	РАЗРЕШЕНИЕ ПРОХОДА ЧЕРЕЗ ТЕРРИТОРИЮ
#CDT_MessHead4	ПРЕДЛОЖИТЬ АЛЬЯНС
#CDT_MessHead5	ПРЕДЛОЖЕНИЕ СОЮЗА
#CDT_MessHead6	 НЕТ
#CDT_MessHead7	 НЕТ
#CDT_MessHead8	 НЕТ
#CDT_MessHead9	 НЕТ
#CDT_MessHead10	ИСТЕЧЕНИЕ ДОГОВОРА
#CDT_MessHead11	ИНФОРМАЦИЯ
#CDT_MessHead12	КОНЕЦ ХОДА
#CDT_MessHead13	ВЫЙТИ ИЗ КАМПАНИИ
#CDT_MessHead14	АТАКА
#CDT_MessHead15	Помощь
#CDT_MessHead16	СООБЩЕНИЕ
#CDT_MessHead17	УЛУЧШИТЬ ЗАЩИТУ
#CDT_MessHead18	 НЕТ
#CDT_MessHead19	 НЕТ
#CDT_MessHead20	ДИВЕРСИЯ В СЕКТОРЕ
#CDT_MessHead21	ДИВЕРСИЯ УДАЛАСЬ
#CDT_MessHead22	ДИВЕРСИЯ ПРОВАЛИЛАСЬ
#CDT_MessHead23	 НЕТ
#CDT_MessHead24	 НЕТ
#CDT_MessHead25	ЗАДАНИЕ

#CDT_MessHead26	ЗАДАНИЕ ВЫПОЛНЕНО
#CDT_MessHead27	 НЕТ
#CDT_MessHead28	 НЕТ
#CDT_MessHead29	ПОРАЖЕНИЕ
#CDT_MessHead30	ПОБЕДА
#CDT_MessHead31	СЕКТОР АТАКОВАН
#CDT_MessHead32	СЕКТОР ЗАХВАЧЕН
#CDT_MessHead33	ПОВЫШЕНИЕ В ЗВАНИИ
#CDT_MessHead34	ПОЛУЧЕНИЕ НАГРАДЫ


#CDT_Actions	Дипломатические действия:	

#CDB_Button1	{FS}Объявить войну
#CDB_Button2	{FS}Предложить мир
#CDB_Button3	{FS}Подписать пакт о ненападении
#CDB_Button4	{FS}Право проход через территорию
#CDB_Button5	{FS}Войти в альянс

#CDB_Button6	{FS}Предложить союз

#CHINT_Button1	Объявить войну этой стране
#CHINT_Button2	Заключить перемирие с этой страной 
#CHINT_Button3	Подписать пакт о ненападении с этой страной
#CHINT_Button4	Запросить разрешение прохода через сектора этой страны
#CHINT_Button5	Войти в альянс с этой страной
#CHINT_Button6	Предложить союз этой стране и она перейдет под ваш контроль


#CDM_LetAContract0	Вы действительно хотите объявить войну нации - {CR}%s{C}. 
#CDM_LetAContract1	Заключить перемирие с нацией {CR}%s{C} за {CR}%d000{C} золота.
#CDM_LetAContract2	Подписать пакт о ненападении с нацией {CR}%s{C} за {CR}%d000{C} золота (на 10 ходов). 
#CDM_LetAContract3	Запросить разрешение прохода через сектор у {CR}%s{C} за {CR}%d000{C} золота (на 10 ходов). 
#CDM_LetAContract4	Вы можете заключить альянс с {CR}%s{C} за {CR}%d000{C} золота. Альянс включает пакт о ненападении и право прохода (на 10 ходов).
#CDM_LetAContract5	Вы можете предложить союз нации {CR}%s{C} за {CR}%d000{C} золота, при условии перехода территорий этой нации ваш контроль.
#CDM_LetAContract6	Вы можете %s с {CR}%s{C} за {CR}%d000{C} золота (на 10 ходов).

#CDM_HavePropose	Вы получили дипломатическое послание от этой нации({CR}Закладка Сообщения{C}).
#CDM_NoEnoughMoney	У Вас нет {CR}%d000{C} золота! Вы не в состоянии позволить себе задуманное.
#CDM_DontWantContract	{CR}%s{C} отклоняет ваше предложение.


#CDM_ProposeContr0	{CR}%s{C} Вам объявили войну.
#CDM_ProposeContr1	{CR}%s{C} хочет заключить перемирие с вашей страной и предлагает  {CR}%d000{C} золота.\ Вы согласны?
#CDM_ProposeContr2	{CR}%s{C} хочет подписать пакт о ненападении с вашей страной (действителен на протяжении 10 ходов) и предлагает {CR}%d000{C} золота.\ Вы согласны?
#CDM_ProposeContr3	{CR}%s{C} запрашивает разрешение прохода через ваши сектора (на 10 ходов) и предлагает {CR}%d000{C} золота. 
#CDM_ProposeContr4	{CR}%s{C} хочет войти в альянс с вашей страной и предлагает {CR}%d000 золота{C}. Альянс включает пакт о ненападении и право прохода на 10 ходов.
#CDM_ProposeContr5	{CR}%s{C} хочет %s с вашей страной за {CR}%000{C} золота (на 10 ходов).


#CDM_EndOfContr2	Срок действия пакта о ненападении с нацией ({CR}%s{C}) истек!
#CDM_EndOfContr3	Срок действия разрешения прохода через сектора нации ({CR}%s{C}) истек!
#CDM_EndOfContr4	Срок действия альянса с нацией ({CR}%s{C}) истек!
#CDM_EndOfContr9	Срок действия договора истек!


#CDT_InWAR	Война:
#CDT_InPEACE	Мир:
#CDT_InNONA	Ненападение:
#CDT_InPASS	Проход:
#CDT_InALLY	Альянс:




#CDB_WAR	{FS}Война
#CDB_PEACE	{FS}Мир
#CDB_NONA	{FS}Ненападение
#CDB_PASS	{FS}Проход
#CDB_ALLY	{FS}Альянс
#CDB_INFO	{FS}Информация 

#CHINT_WAR	Нации находятся в состоянии {CR}войны{C}
#CHINT_PEACE Между нациями заключен {CG}мир{C}
#CHINT_NONA	Нации находятся под действием {CG}пакта о ненападении{C}
#CHINT_PASS	Страны имеют взаимное {CG}право прохода через территории{C}
#CHINT_ALLY	Страны {CG}альянса{C}


#CDB_MessLtr0	Война


#CDB_MessLtr1	Мир
#CDB_MessLtr2	Пакт о ненападении
#CDB_MessLtr3	Право прохода через территории
#CDB_MessLtr4	Альянс
#CDB_MessLtr5	Информация
#CDB_MessLtr6	Конец!


#CDB_Agree	Согласен
#CDB_OkButton	ОК
#CDB_YesButton	Да
#CDB_NoButton	Нет
#CDB_Cancel	Отмена
#CDB_Close	Закрыть
#CDB_Accept	Принять
#CDB_Reject	Отклонить

#CDT_Accepted	Принято
#CDT_Rejected	Отклонено


//#CDT_ST_WAR	{CR}В{C} 
//#CDT_ST_PEACE	{CG}М{C} 
//#CDT_ST_NONA	{CG}П-Н{C}
//#CDT_ST_PASS	{CG}ПП{C}
//#CDT_ST_ALLY	{CG}А{C}
//#CDT_ST_NONA_PASS {CG}Н+П{C}

#CDT_ST_WAR	{CR}В{C} 
#CDT_ST_PEACE	{CG}М{C} 
#CDT_ST_NONA	{CG}П-Н{C}
#CDT_ST_PASS	{CG}ПП{C}
#CDT_ST_ALLY	{CG}А{C}
#CDT_ST_NONA_PASS {CG}Н+П{C}

#CHINT_ST_WAR	{CR}Война{C} 
#CHINT_ST_PEACE	{CG}Заключение мира{C} 
#CHINT_ST_NONA	{CG}Пакт о ненападении{C}
#CHINT_ST_PASS	{CG}Разрешение на проход через территории{C}
#CHINT_ST_ALLY	{CG}Альянс{C}
#CHINT_ST_NONA_PASS {CG}Пакт о ненападении и разрешение на проход через территории{C}

#CHINT_TurnsLeft	(пакт действителен %d ходов)

//end of DIPLOMACY 



///////////////////////////////////////
// Player Interface

#CIT_PlayerNames	Игрок
#CIT_NewPlayer		Новый игрок
#CIT_DelPlayer		Удалить игрока
#CIT_EnterPlayerName	Имя игрока:
#CIT_EnterPlayerNat	Нация игрока:
#CIT_EnterDifficulty	Уровень сложности:
#CIT_PlayersHero	Текущий командир
#CIB_Prev		Предыдущий
#CIB_Next	Следующий
#CIB_NEW	Новый игрок
#CIB_DELETE	Удалить игрока

// end of Player Interface



///////////////////////////////////////
// QUESTS

#CQM_AttackNation0	%s просит инициировать атаку на нацию {CR}%s{C} и предлагает сей акт {CR}%d{C} золота.
#CQM_AttackNation1	%s за оказанную услугу (атаку {CR}%s{C}) платит {CR}%d{C} золотом.\ ({CR}Задание выполнено{C})

#CQM_CaptureSector0	%s просит оккупировать сектор {CR}%s{C} и предлагает {CR}%d{C} золота.
#CQM_CaptureSector1	%s за оказанную услугу (захват сектора {CR}%s{C}) платит {CR}%d{C} золотом.\ ({CR}Задание выполнено{C})\ Продолжить?

#CQM_DefendSector0	%s просит привести вашу армию в сектор {CR}%s{C} и защищать его в течение 5 ходов.\За эту услугу %s предлагает {CR}%d{C} золото.

#CQM_DefendSector1	%s за оказанную услугу (защита сектора {CR}%s{C}) платит {CR}%d{C} золотом.\ ({CR}Задание выполнено{C})
#CQM_DefendSector11	%s за оказанную услугу (защита сектора {CR}%s{C}) платит {CR}%d{C} золотом.\ ({CR}Задание выполнено{C})\ Продолжить?
#CQM_DefendSector2	%s разочарован вашим нежеланием защитить сектор {CR}%s{C}.

#CQM_SellSector00	%s просит продать сектор {CR}%s{C} за {CR}%d{C} золота.\ ({CR}Закладка Сообщения{C}).
#CQM_SellSector0	%s просит продать сектор {CR}%s{C} за {CR}%d{C} золота.\ Вы согласны?
#CQM_SellSector1	%s поздравляет с выгодной сделкой и дает {CR}%d{C} золота.
#CQM_SellSector2	Сделка не состоялась


#CQM_LandAddGold0	У торговцев был очень прибыльный период. Благодаря налогам казна получила {CR}%d{C} золота.
#CQM_LandAddGold1	Большой торговый караван посетил один из регионов. Налоги торговцев каравана были уплачены {CR}%d{C} золотом.
#CQM_LandAddGold2	Текстильщики удвоили свою прибыль. Налоги принесли еще {CR}%d{C} золота в казну.
#CQM_LandAddGold3	Производители изделий из стали получают выгоду от войны. В казну идут налоги с их прибыли в размере {CR}%d{C} единиц золотом.
#CQM_LandAddGold4	Один из купцов выделил на военные нужды часть своей прибыли - {CR}%d{C} золота.

#CQM_SeaAddGold0	Шторм вынудил большой торговый корабль причалить в порту. Казна получила дополнительные {CR}%d{C} золота.
#CQM_SeaAddGold1	Судоремонтные артели в одном из портов хорошо заработали на ремонте суден. Налоги, выплаченные артелями, составили {CR}%d{C} золотом.
#CQM_SeaAddGold2	Китобои провели очень удачный сезон. Налоги владельцев китобойных суден были уплачены {CR}%d{C} золотом.
#CQM_SeaAddGold3	В один из портовых городов зашло торговое судно. Налог на импорт принес {CR}%d{C} золото.
#CQM_SeaAddGold4	Рыболовецкие суда выловили небывалое количество рыбы. Сборщики налогов не дремали. Это принесло дополнительно {CR}%d{C} золота в казну.

#CQM_LandDelGold0	Казначейство нации было ограблено ворами! Казна потеряла {CR}%d{C} золота.
#CQM_LandDelGold1	В стране ограбили нескольких крупных купцов! Казна потеряла {CR}%d{C} золота.
#CQM_LandDelGold2	На казначейскую карету напали грабители! В результате казна потеряла {CR}%d{C} золота.
#CQM_LandDelGold3	Нечестные служащие растратили государственные деньги! Государственная казна потеряла {CR}%d{C} золота.
#CQM_LandDelGold4 В ряде регионов страны царили беспорядки! Поэтому сборщикам налогов не удалось собрать необходимые суммы денег. Это сократило поступления в казну на {CR}%d{C} золота.
#CQM_SeaDelGold0	На корабль, который перевозил национальные запасы, напали пираты! Казна потеряла {CR}%d{C} золота.
#CQM_SeaDelGold1	Корабль, который перевозил национальные запасы, налетел на риф и затонул! Казна потеряла {CR}%d{C} золота.
#CQM_SeaDelGold2	В результате драки матросов, в одном из портовых городов сгорели трактир, таверна и практически все склады в порту. Владельцы складов понесли большие убытки, и казна недополучила {CR}%d{C} золота.
#CQM_SeaDelGold3	Шторм помешал рыбакам выловить запланированное количество рыбы. Таким образом, сборщики налогов не смогли собрать нужную сумму денег с рыбаков. Казна недополучила {CR}%d{C} золота.
#CQM_SeaDelGold4	Несколько складов были дерзко ограблены! Владельцы украденных товаров понесли большие убытки и не смогли полностью уплатить налоги. Казна недополучила {CR}%d{C} золота.


#CQM_AddRecruits	В секторе {CR}%s{C} увеличилось количество рекрутов (+%d). Все они с радостью присоединятся к вашей армии!
#CQM_DeleteRecruits	Из-за эпидемии в секторе {CR}%s{C} уменьшилось количество рекрутов (-%d).

#CQM_DeleteResources	В результате диверсии в секторе {CR}%s{C} были уничтожены стратегические склады (страна не получит ресурсы от этого сектора).
#CQM_DeleteDefence	В результате диверсии в секторе {CR}%s{C} была разрушена часть бараков гарнизона (уровень защиты в этом секторе понизился).

#CQM_SectorRebellion0	В секторе {CR}%s{C} вспыхнуло восстание! На немедленное подавление бунтарей уйдет {CR}%d{C} золота. Вы согласны выплатить такую сумму?
#CQM_SectorRebellion1	Восстание в секторе {CR}%s{C} подавлено! Вы восстановили контроль над этой территорией.
#CQM_SectorRebellion2	Подавление мятежа провалилось! Вы потеряли контроль над этой территорией.
#CQM_SectorRebellion3	Вы потеряли контроль над этой территорией!
#CQM_SectorRebellion4	Мятеж вспыхнул в секторе {CR}%s{C}! Вы потеряли контроль над этой территорией.

#CQM_AddSquad0	Отряд наемников готов примкнуть к вашей армии за {CR}%d{C} золота. (+ 1 отряд {CR}%s{C})\ Принять предложение?
#CQM_AddSquad1	Отряд иностранных солдат готов примкнуть к вашей армии за {CR}%d{C} золота. (+ 1 отряд {CR}%s{C})\ Принять предложение?
#CQM_AddSquad2	Отряд жителей готов примкнуть к вашей армии за {CR}%d{C} золота. (+ 1 отряд {CR}%s{C})\ Принять предложение?

#CQM_AddSquadD	Национальная армия получила пополнилась еще одним отрядом ({CR}%s{C}).


#CQM_RisePrices00  По всей стране вспыхивают лесные пожары - {C FF640100}цена на дерево{C} {CR}возросла{C} %d.
#CQM_RisePrices01  Некоторая часть запасов древесины на складах сгнила и теперь не пригодна для использования - {C FF640100}цена на дерево{C} {CR}возросла{C}  %d.

#CQM_RisePrices20  Рабочие каменоломен подняли восстание  - {C FF640100}цена на камень{C} {CR}возросла{C} %d.
#CQM_RisePrices21  Каменоломни затопило - {C FF640100}цена на камень{C} {CR}возросла{C} %d.

#CQM_RisePrices30  В этом году лето выдалось жарким, солнце выжгло урожайные поля - {C FF640100}цены на еду{C} {CR}возросли{C} %d.
#CQM_RisePrices31  Град уничтожил посевы на полях, жители деревень собрали очень скудный урожай в этом году - {C FF640100}цены на еду{C} {CR}возросли{C} %d.

#CQM_RisePrices40    На европейском рынке дефицит железа и руды - {C FF640100}цены на железо{C} {CR}возросли{C} %d
#CQM_RisePrices41    Крысы на фабриках! Владельцы понесли большие убытки - {C FF640100}цены на железо{C} {CR}возросли{C} %d.

#CQM_RisePrices50    На европейском рынке дефицит угля - {C FF640100}цены на уголь{C} {CR}возросли{C} %d
#CQM_RisePrices51    Угольные шахты территорий нашей нации недавно крупно обанкротились - {C FF640100}цены на уголь{C} {CR}возросли{C} %d.


#CQM_FallPrices00  Благодаря лесорубам предложение на дерево на рынке выросло - {C FF640100}цены на дерево{C} {CR}упали{C} %d.
#CQM_FallPrices01  Владельцы лесопильных заводов снизили цены на древесину и распродают старые запасы - {C FF640100}цены на дерево{C} {CR}упали{C} %d.

#CQM_FallPrices20  Владельцы каменоломен снизили цены на камень - {C FF640100}цены на камень{C} {CR}упали{C} %d.
#CQM_FallPrices21  Избыток камня на рынке - {C FF640100}цены на камень{C} {CR}упали{C} %d.

#CQM_FallPrices30  Благодаря хорошей погоде, в этом году крестьяне собрали хороший урожай - {C FF640100}цены на еду{C} {CR}упали{C} %d.
#CQM_FallPrices31  Рыболовецкие судна привезли большой улов - {C FF640100}Цены на еду{C} {CR}упали{C} %d.

#CQM_FallPrices40  Рудокопы обнаружили новые богатые месторождения руды - {C FF640100}цены на железо{C} {CR}упали{C} %d.
#CQM_FallPrices41  Избыток железа на рынке - {C FF640100}цены на железо{C} {CR}упали{C} %d.


#CQM_FallPrices50  Рудокопы обнаружили новые богатые месторождения угля - {C FF640100}цены на уголь{C} {CR}упали{C} %d.
#CQM_FallPrices51  Избыток угля на рынке - {C FF640100}цены на уголь{C} {CR}упали{C} %d.


//#CQM_

//end of QUESTS



///////////////////////////////////////
// Country Names

#ENGLAND Британия
#FRANCE	Франция
#AUSTRIA Австрия
#PRUSSIA Пруссия
#RUSSIA	Россия
#EGYPT	Египет

#REBEL	Повстанцы


Sector00	Эдинбург
Sector01	Лондон
Sector02	Нант
Sector03	Тулуза
Sector04	Барселона
Sector05	Брюссель
Sector06	Париж
Sector07	Марсель
Sector08	Берлин
Sector09	Мюнхен
Sector10	Вена
Sector11	Рим
Sector12	Неаполь
Sector13	Восточная Пруссия
Sector14	Прага
Sector15	Будапешт
Sector16	Варшава
Sector17	Трансильвания
Sector18	Вильно
Sector19	Минск
Sector20	Украина
Sector21	Москва
Sector22	Александрия
Sector23	Каир

// end of Country Names



///////////////////////////////////////
// Commanders Data

#LIEUTENANT	Лейтенант
#CAPTAIN	Капитан
#MAJOR	Майор
#COLONEL	Полковник
#GENERAL	Генерал
#MARSHAL	Маршал


#HERO_EG_0	Веллингтон
#HERO_EG_1	Пит
#HERO_EG_2	Бересфорд
#HERO_EG_3	Грэм
#HERO_EG_4	Эльфинстоун
#HERO_EG_5	Мур
#HERO_EG_6	Хоуп
#HERO_EG_7	Аберкромби
#HERO_EG_8	HERO_EG_8_N
#HERO_EG_9	HERO_EG_9_N

#HERO_FR_0	Наполеон
#HERO_FR_1	Ней
#HERO_FR_2	Мюрат
#HERO_FR_3	Мортье
#HERO_FR_4	Моранд
#HERO_FR_5	Де Шампийон
#HERO_FR_6	Де Фриан
#HERO_FR_7	Даву
#HERO_FR_8	HERO_FR_8_N
#HERO_FR_9	HERO_FR_9_N

#HERO_AS_0	Франц I
#HERO_AS_1	Карл Людвиг

#HERO_AS_2	Бельгард
#HERO_AS_3	Фон Кинмайер
#HERO_AS_4	Мак
#HERO_AS_5	Фон Нейпперг
#HERO_AS_6	Де Бусцим
#HERO_AS_7	Лихтенштейн
#HERO_AS_8	HERO_AS_8_N
#HERO_AS_9	HERO_AS_9_N

#HERO_PR_0	ВильгельмIII
#HERO_PR_1	Ф.Блюхер
#HERO_PR_2	Карл II
#HERO_PR_3	Ф.Калкройт
#HERO_PR_4	Ф.Гнейзенау
#HERO_PR_5	Ф.Бюлов
#HERO_PR_6	Кляйст
