#SECTORN#           24
#MAPSIZE#           990 825
#SECTOR#
Population	    0
SectorName          Sector12
Neighbors           2 	 11 22
Arrow               406 584 0   477 646 0
Villages            3
Ressource           3
Owner		    2
#SECTOR#
ID                  13
Center		    461 196
SityXY		    500 225
FortXY		    530 260
DefOwner	    3
Defence		    0
Population	    0
SectorName          Sector13
Neighbors           4 	 8 14 16 18
Arrow               424 243 0   477 274 0   554 244 0   600 189 0
Villages            5
Ressource           3
Owner		    3
#SECTOR#
ID                  14
Center		    394 284
SityXY		    470 330
FortXY		    465 365
DefOwner	    2
Defence		    0
Population	    0
SectorName          Sector14
Neighbors           6 	 8 13 16 15 10 9
Arrow               412 277 0   478 268 0  498 348 0   511 385 0   441 371 0   368 352 0
Villages            2
Ressource           4
Owner		    2
#SECTOR#
ID                  15
Center		    451 397
SityXY		    535 440
FortXY		    547 489
DefOwner	    2
Defence		    3
Population	    2
SectorName          Sector15
Neighbors           4 	 10 14 16 17
Arrow               444 448 0   517 389 0   577 369 0   584 443 0
Villages            5
Ressource           2
Owner		    2
#SECTOR#
ID                  16
Center		    519 264
SityXY		    617 278
FortXY		    598 338
DefOwner	    4
Defence		    0
Population	    0
SectorName          Sector16
Neighbors           6 	 13 18 20 17 15 14
Arrow               542 246 0   611 262 0   626 313 0   603 344 0   576 369 0   493 347 0 
Villages            5
Ressource           3
Owner		    4
#SECTOR#
ID                  17
Center		    606 363
SityXY		    707 490
FortXY		    675 410
DefOwner	    2
Defence		    0
Population	    0
SectorName          Sector17
Neighbors           3 	 15 16 20
Arrow               572 446 0   612 345 0   699 355 0
Villages            6
Ressource           1
Owner		    2
#SECTOR#
ID                  18
Center		    571 103
SityXY		    670 190
FortXY		    635 161
DefOwner	    4
Defence		    0
Population	    0
SectorName          Sector18
Neighbors           4 	 13 16 19 20
Arrow               589 178 0   606 261 0   677 168 0   665 245 0
Villages            2
Ressource           1
Owner		    4
#SECTOR#
ID                  19
Center		    673 67
SityXY		    725 215
FortXY		    767 163
DefOwner	    4
Defence		    0
Population	    0
SectorName          Sector19
Neighbors           3 	 18 21 20
Arrow               671 184 0   786 162 0   749 237 0
Villages            5
Ressource           4
Owner		    4
#SECTOR#
ID                  20
Center		    654 267
SityXY		    790 325
FortXY		    745 355
DefOwner	    4
Defence		    0
Population	    0
SectorName          Sector20
Neighbors           5 	 18 19 21 17 16
Arrow               665 250 0   745 234 0   807 263 0   700 352 0   626 325 0
Villages            6
Ressource           1
Owner		    4
#SECTOR#
ID                  21
Center		    809 27
SityXY		    890 105
FortXY		    880 195
DefOwner	    4
Defence		    3
Population	    2
SectorName          Sector21
Neighbors           2 	 19 20
Arrow               784 157 0   814 249 0
Villages            5
Ressource           2
Owner		    4
#SECTOR#
ID                  22
Center		    697 679
SityXY		    858 691
FortXY		    797 767
DefOwner	    5
Defence		    3
Population	    2
SectorName          Sector22
Neighbors           2 	 12 23
Arrow               478 640 0   862 728 0
Villages            5
Ressource           2
Owner		    5
#SECTOR#
ID                  23
Center		    860 660
SityXY		    908 725
FortXY		    933 690
DefOwner	    5
Defence		    0
Population	    0
SectorName          Sector23
Neighbors           1 	 22
Arrow               852 730 0
Villages            5
Ressource           1
Owner		    5
