//************************************************************************
// 		Constant Data for Big Map Global Quests
//************************************************************************
/ 
// additional data

ports               16 	 0 1 2 3 4 5 7 8 10 11 12 13 15 18 22 23

// 0 ENGLAND
// 1 FRANCE
// 2 AUSTRIA
// 3 PRUSSIA
// 4 RUSSIA
// 5 EGIPET

/
// AttackNation		N = 5

[QUEST]
[QUEST]
name                DeleteResources
recipient           6 	 0 1 2 3 4 5
probability         10
turn_limit          3

[QUEST]
name                DeleteResources
recipient           3 	 0 4 5
probability         20
turn_limit          5

/
// DeleteDefence	2	= 28

[QUEST]
name                DeleteDefence
recipient           6 	 0 1 2 3 4 5
probability         10
turn_limit          7

[QUEST]
name                DeleteDefence
recipient           3 	 1 2 4
probability         20
turn_limit          8

[QUEST]
name                DeleteDefence
recipient           1 	 0
probability         20
turn_limit          6

/
// AddSquad		4	= 30

[QUEST]
name                AddSquad
recipient           6 	 0 1 2 3 4 5
probability         15
turn_limit          5
gold                400

[QUEST]
name                AddSquad
recipient           6 	 0 1 2 3 4 5
probability         15
turn_limit          7
gold                200

[QUEST]
name                AddSquad
recipient           4 	 1 2 4 5
probability         10
turn_limit          7
gold                100

[QUEST]
name                AddSquad
recipient           2 	 4 5
probability         10
turn_limit          7
gold                50



[END]

// skip line - "enter", "/ " , "// "


// functions list  - AttackNation 
//		   - CaptureSector - DefendSector    - SellSector
//                 - AddGold       - DeleteGold
//		   - AddRecruits   - DeleteRecruits
//		   - Rebellion     - DeleteResources - DeleteDefence 
//		   - AddSquad 


// FUN for ADD :  

//
//		   (?) - Epidemic - +/- PortEpidemic (?)
//


//1.Nado Ochen' chasto AddRecruits, DeleteRecruits.
//2.Add Gold i Delete Gold luche zdelat' dovolno redko Turn_limit 8 no po mnogu resursov.
//3.Max_TurnLimit=15 MinTurnLimit=3 Ogromnii-TurnLimit=10 Normal-TurnLimit=6
//4.DeleteDefence-zdelat' chashe, DeleteResources
